pronom	conjugated	infinitive	form
je	parle	parler	présent
tu	parles	parler	présent
il	parle	parler	présent
nous	parlons	parler	présent
vous	parlez	parler	présent
ils	parlent	parler	présent
je	parlais	parler	imparfait
tu	parlais	parler	imparfait
il	parlait	parler	imparfait
nous	parlions	parler	imparfait
vous	parliez	parler	imparfait
ils	parlaient	parler	imparfait
je	parlerai	parler	futur
tu	parleras	parler	futur
il	parlera	parler	futur
nous	parlerons	parler	futur
vous	parlerez	parler	futur
ils	parleront	parler	futur
je	parlerais	parler	conditionnel
tu	parlerais	parler	conditionnel
il	parlerait	parler	conditionnel
nous	parlerions	parler	conditionnel
vous	parleriez	parler	conditionnel
ils	parleraient	parler	conditionnel
je	suis	être	présent
tu	es	être	présent
il	est	être	présent
nous	sommes	être	présent
vous	êtes	être	présent
ils	sont	être	présent
je	étais	être	imparfait
tu	étais	être	imparfait
il	était	être	imparfait
nous	étions	être	imparfait
vous	étiez	être	imparfait
ils	étaient	être	imparfait
je	serai	être	futur
tu	seras	être	futur
il	sera	être	futur
nous	serons	être	futur
vous	serez	être	futur
ils	seront	être	futur
je	sois	être	subjonctif
tu	sois	être	subjonctif
il	soit	être	subjonctif
nous	soyons	être	subjonctif
vous	soyez	être	subjonctif
ils	soient	être	subjonctif
j'	ai	avoir	présent
tu	as	avoir	présent
il	a	avoir	présent
nous	avons	avoir	présent
vous	avez	avoir	présent
ils	ont	avoir	présent
j'	avais	avoir	imparfait
tu	avais	avoir	imparfait
il	avait	avoir	imparfait
nous	avions	avoir	imparfait
vous	aviez	avoir	imparfait
ils	avaient	avoir	imparfait
j'	aurai	avoir	futur
tu	auras	avoir	futur
il	aura	avoir	futur
nous	aurons	avoir	futur
vous	aurez	avoir	futur
ils	auront	avoir	futur
je	finis	finir	présent
tu	finis	finir	présent
il	finit	finir	présent
nous	finissons	finir	présent
vous	finissez	finir	présent
ils	finissent	finir	présent
je	finissais	finir	imparfait
tu	finissais	finir	imparfait
il	finissait	finir	imparfait
nous	finissions	finir	imparfait
vous	finissiez	finir	imparfait
ils	finissaient	finir	imparfait
je	finirai	finir	futur
tu	finiras	finir	futur
il	finira	finir	futur
nous	finirons	finir	futur
vous	finirez	finir	futur
ils	finiront	finir	futur
je	finirais	finir	conditionnel
tu	finirais	finir	conditionnel
il	finirait	finir	conditionnel
nous	finirions	finir	conditionnel
vous	finiriez	finir	conditionnel
ils	finiraient	finir	conditionnel
je	vais	aller	présent
tu	vas	aller	présent
il	va	aller	présent
nous	allons	aller	présent
vous	allez	aller	présent
ils	vont	aller	présent
j'	allais	aller	imparfait
tu	allais	aller	imparfait
il	allait	aller	imparfait
nous	allions	aller	imparfait
vous	alliez	aller	imparfait
ils	allaient	aller	imparfait
j'	irai	aller	futur
tu	iras	aller	futur
il	ira	aller	futur
nous	irons	aller	futur
vous	irez	aller	futur
ils	iront	aller	futur
je	fais	faire	présent
tu	fais	faire	présent
il	fait	faire	présent
nous	faisons	faire	présent
vous	faites	faire	présent
ils	font	faire	présent
je	faisais	faire	imparfait
tu	faisais	faire	imparfait
il	faisait	faire	imparfait
nous	faisions	faire	imparfait
vous	faisiez	faire	imparfait
ils	faisaient	faire	imparfait
je	ferai	faire	futur
tu	feras	faire	futur
il	fera	faire	futur
nous	ferons	faire	futur
vous	ferez	faire	futur
ils	feront	faire	futur
je	veux	vouloir	présent
tu	veux	vouloir	présent
il	veut	vouloir	présent
nous	voulons	vouloir	présent
vous	voulez	vouloir	présent
ils	veulent	vouloir	présent
je	voulais	vouloir	imparfait
tu	voulais	vouloir	imparfait
il	voulait	vouloir	imparfait
nous	voulions	vouloir	imparfait
vous	vouliez	vouloir	imparfait
ils	voulaient	vouloir	imparfait
je	voudrai	vouloir	futur
tu	voudras	vouloir	futur
il	voudra	vouloir	futur
nous	voudrons	vouloir	futur
vous	voudrez	vouloir	futur
ils	voudront	vouloir	futur
je	peux	pouvoir	présent
tu	peux	pouvoir	présent
il	peut	pouvoir	présent
nous	pouvons	pouvoir	présent
vous	pouvez	pouvoir	présent
ils	peuvent	pouvoir	présent
je	pouvais	pouvoir	imparfait
tu	pouvais	pouvoir	imparfait
il	pouvait	pouvoir	imparfait
nous	pouvions	pouvoir	imparfait
vous	pouviez	pouvoir	imparfait
ils	pouvaient	pouvoir	imparfait
je	pourrai	pouvoir	futur
tu	pourras	pouvoir	futur
il	pourra	pouvoir	futur
nous	pourrons	pouvoir	futur
vous	pourrez	pouvoir	futur
ils	pourront	pouvoir	futur
je	mange	manger	présent
tu	manges	manger	présent
il	mange	manger	présent
nous	mangeons	manger	présent
vous	mangez	manger	présent
ils	mangent	manger	présent
je	mangeais	manger	imparfait
tu	mangeais	manger	imparfait
il	mangeait	manger	imparfait
nous	mangions	manger	imparfait
vous	mangiez	manger	imparfait
ils	mangeaient	manger	imparfait
je	mangerai	manger	futur
tu	mangeras	manger	futur
il	mangera	manger	futur
nous	mangerons	manger	futur
vous	mangerez	manger	futur
ils	mangeront	manger	futur
