pronom	conjugated	infinitive	form
je	aille	aller	subjonctif
tu	ailles	aller	subjonctif
il	aille	aller	subjonctif
nous	allions	aller	subjonctif
vous	alliez	aller	subjonctif
elles	aillent	aller	subjonctif
je	irais	aller	conditionnel présent
tu	irais	aller	conditionnel présent
elle	irait	aller	conditionnel présent
nous	irions	aller	conditionnel présent
vous	iriez	aller	conditionnel présent
ils	iraient	aller	conditionnel présent
je	allais	aller	imparfait
tu	allais	aller	imparfait
il	allait	aller	imparfait
nous	allions	aller	imparfait
vous	alliez	aller	imparfait
elles	allaient	aller	imparfait
je	vais	aller	présent
tu	vas	aller	présent
elle	va	aller	présent
nous	allons	aller	présent
vous	allez	aller	présent
ils	vont	aller	présent
