pronom	conjugated	infinitive	form
je	aie	avoir	subjonctif
tu	aies	avoir	subjonctif
il	ait	avoir	subjonctif
nous	ayons	avoir	subjonctif
vous	ayez	avoir	subjonctif
elles	aient	avoir	subjonctif
je	aurais	avoir	conditionnel présent
tu	aurais	avoir	conditionnel présent
elle	aurait	avoir	conditionnel présent
nous	aurions	avoir	conditionnel présent
vous	auriez	avoir	conditionnel présent
ils	auraient	avoir	conditionnel présent
je	avais	avoir	imparfait
tu	avais	avoir	imparfait
il	avait	avoir	imparfait
nous	avions	avoir	imparfait
vous	aviez	avoir	imparfait
elles	avaient	avoir	imparfait
