pronom	conjugated	infinitive	form
je	sois	être	subjonctif
tu	sois	être	subjonctif
il	soit	être	subjonctif
nous	soyons	être	subjonctif
vous	soyez	être	subjonctif
elles	soient	être	subjonctif
je	serais	être	conditionnel présent
tu	serais	être	conditionnel présent
elle	serait	être	conditionnel présent
nous	serions	être	conditionnel présent
vous	seriez	être	conditionnel présent
ils	seraient	être	conditionnel présent
je	étais	être	imparfait
tu	étais	être	imparfait
il	était	être	imparfait
nous	étions	être	imparfait
vous	étiez	être	imparfait
elles	étaient	être	imparfait
